"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.24527360667592e-05,4.00458134250508,0.25,0.011,0.170776822419536,"CMP","EIF4ENIF1"
1.26599223317925e-05,2.80204893141878,0.5,0.042,0.173618174858202,"CMP","RAB34"
1.30529714428285e-05,3.11200969277125,0.75,0.105,0.17900845036695,"CMP","EBPL"
1.36503290886214e-05,3.21232703203823,0.5,0.043,0.187200613121354,"CMP","C7orf49"
1.41672001334747e-05,2.21731352296152,0.5,0.042,0.194288982630472,"CMP","CGRRF1"
1.53453900777478e-05,2.42997489141286,0.75,0.089,0.210446679526234,"CMP","ZNF22"
1.64511664193512e-05,4.94863512561753,0.25,0.012,0.225611296274982,"CMP","NHLRC2"
1.65702742216389e-05,4.11959768550397,0.25,0.012,0.227244740675556,"CMP","PTPN23"
1.70969576624991e-05,3.9233028127653,0.25,0.012,0.234467677383512,"CMP","LRRC61"
1.70969576624991e-05,3.62984139702788,0.25,0.012,0.234467677383512,"CMP","FXYD2"
1.71752770936617e-05,3.25700530283141,0.5,0.045,0.235541750062477,"CMP","IREB2"
1.73662445477341e-05,3.69431908527802,0.25,0.012,0.238160677727625,"CMP","ZBED6"
1.76395699440501e-05,3.76885138274089,0.25,0.012,0.241909062212704,"CMP","ZNF678"
1.76395699440501e-05,3.90265892198697,0.25,0.012,0.241909062212704,"CMP","RHBDD3"
2.04049724217281e-05,5.76297186737526,0.25,0.013,0.279833791791579,"CMP","GALE"
2.0976426221786e-05,2.60955963005661,0.5,0.043,0.287670709205573,"CMP","SNUPN"
2.3036078387495e-05,3.96004627792525,0.25,0.012,0.315916779006106,"CMP","ZMYM3"
2.33883102680466e-05,3.64629721995352,0.25,0.012,0.32074728701599,"CMP","FCHSD1"
2.37456652072421e-05,3.88558389829659,0.25,0.012,0.325648052652118,"CMP","NOP14-AS1"
2.37456652072421e-05,3.884523631183,0.25,0.012,0.325648052652118,"CMP","ICA1"
2.41082075420618e-05,3.74349748087709,0.25,0.012,0.330619958231835,"CMP","ZNF180"
2.41082095346901e-05,3.55366231527026,0.25,0.012,0.33061998555874,"CMP","C10orf88"
2.63758172542872e-05,2.80397139505108,0.5,0.044,0.361717957825294,"CMP","PDLIM5"
